gate,run,num_qubits,depth,size,exec_time_sec,error_rate,fidelity,energy_consumption_mJ,quantum_volume,depolarization_rate,noise_rate,noise_model_used
H,83,1,2,2,0.0150556564331054,0.4814453125,0.5185546875,1,2,0.05,0.05,Yes
H,84,1,2,2,0.0146594047546386,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,85,1,2,2,0.0150971412658691,0.5,0.5,1,2,0.05,0.05,Yes
H,86,1,2,2,0.0150375366210937,0.51171875,0.48828125,1,2,0.05,0.05,Yes
H,87,1,2,2,0.0148305892944335,0.4755859375,0.5244140625,1,2,0.05,0.05,Yes
H,88,1,2,2,0.0149600505828857,0.4833984375,0.5166015625,1,2,0.05,0.05,Yes
H,89,1,2,2,0.0144331455230712,0.4794921875,0.5205078125,1,2,0.05,0.05,Yes
H,90,1,2,2,0.00221776962280273,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,91,1,2,2,0.00226759910583496,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,92,1,2,2,0.00229787826538085,0.5029296875,0.4970703125,1,2,0.05,0.05,Yes
H,93,1,2,2,0.00222015380859375,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,94,1,2,2,0.0021827220916748,0.458984375,0.541015625,1,2,0.05,0.05,Yes
H,95,1,2,2,0.00233864784240722,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,96,1,2,2,0.00228214263916015,0.49609375,0.50390625,1,2,0.05,0.05,Yes
H,97,1,2,2,0.00230574607849121,0.51953125,0.48046875,1,2,0.05,0.05,Yes
H,98,1,2,2,0.0023202896118164,0.4736328125,0.5263671875,1,2,0.05,0.05,Yes
H,99,1,2,2,0.00226259231567382,0.5029296875,0.4970703125,1,2,0.05,0.05,Yes
H,100,1,2,2,0.00243759155273437,0.5341796875,0.4658203125,1,2,0.05,0.05,Yes
H,101,1,2,2,0.00220680236816406,0.4833984375,0.5166015625,1,2,0.05,0.05,Yes
H,102,1,2,2,0.00220561027526855,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,103,1,2,2,0.00221824645996093,0.517578125,0.482421875,1,2,0.05,0.05,Yes
H,104,1,2,2,0.00217199325561523,0.478515625,0.521484375,1,2,0.05,0.05,Yes
H,105,1,2,2,0.002349853515625,0.4921875,0.5078125,1,2,0.05,0.05,Yes
H,106,1,2,2,0.00214982032775878,0.5224609375,0.4775390625,1,2,0.05,0.05,Yes
H,107,1,2,2,0.00230813026428222,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,108,1,2,2,0.00217747688293457,0.525390625,0.474609375,1,2,0.05,0.05,Yes
H,109,1,2,2,0.00228857994079589,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,110,1,2,2,0.00217294692993164,0.521484375,0.478515625,1,2,0.05,0.05,Yes
H,111,1,2,2,0.0023512840270996,0.53125,0.46875,1,2,0.05,0.05,Yes
H,112,1,2,2,0.00228381156921386,0.541015625,0.458984375,1,2,0.05,0.05,Yes
H,113,1,2,2,0.00225234031677246,0.5166015625,0.4833984375,1,2,0.05,0.05,Yes
H,114,1,2,2,0.0022139549255371,0.4736328125,0.5263671875,1,2,0.05,0.05,Yes
H,115,1,2,2,0.00229620933532714,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,116,1,2,2,0.00219058990478515,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,117,1,2,2,0.00225305557250976,0.4755859375,0.5244140625,1,2,0.05,0.05,Yes
H,118,1,2,2,0.00225710868835449,0.5107421875,0.4892578125,1,2,0.05,0.05,Yes
H,119,1,2,2,0.00229430198669433,0.509765625,0.490234375,1,2,0.05,0.05,Yes
H,120,1,2,2,0.00216507911682128,0.4775390625,0.5224609375,1,2,0.05,0.05,Yes
H,121,1,2,2,0.00236678123474121,0.4765625,0.5234375,1,2,0.05,0.05,Yes
H,122,1,2,2,0.00231480598449707,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,123,1,2,2,0.00239849090576171,0.474609375,0.525390625,1,2,0.05,0.05,Yes
H,124,1,2,2,0.00222420692443847,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,125,1,2,2,0.00228667259216308,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,126,1,2,2,0.00220751762390136,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,127,1,2,2,0.00230884552001953,0.509765625,0.490234375,1,2,0.05,0.05,Yes
H,128,1,2,2,0.00219535827636718,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,129,1,2,2,0.00226020812988281,0.4560546875,0.5439453125,1,2,0.05,0.05,Yes
H,130,1,2,2,0.00229310989379882,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,131,1,2,2,0.00234293937683105,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,132,1,2,2,0.00227713584899902,0.5029296875,0.4970703125,1,2,0.05,0.05,Yes
H,133,1,2,2,0.00224995613098144,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,134,1,2,2,0.00220060348510742,0.5283203125,0.4716796875,1,2,0.05,0.05,Yes
H,135,1,2,2,0.00231647491455078,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,136,1,2,2,0.00227713584899902,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,137,1,2,2,0.00227618217468261,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,138,1,2,2,0.00224018096923828,0.5302734375,0.4697265625,1,2,0.05,0.05,Yes
H,139,1,2,2,0.00228619575500488,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,140,1,2,2,0.00222086906433105,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,141,1,2,2,0.00227570533752441,0.48046875,0.51953125,1,2,0.05,0.05,Yes
H,142,1,2,2,0.00220346450805664,0.498046875,0.501953125,1,2,0.05,0.05,Yes
H,143,1,2,2,0.00227975845336914,0.509765625,0.490234375,1,2,0.05,0.05,Yes
H,144,1,2,2,0.0023808479309082,0.4775390625,0.5224609375,1,2,0.05,0.05,Yes
H,145,1,2,2,0.00223612785339355,0.5078125,0.4921875,1,2,0.05,0.05,Yes
H,146,1,2,2,0.00225567817687988,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,147,1,2,2,0.00235629081726074,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,148,1,2,2,0.00226998329162597,0.48828125,0.51171875,1,2,0.05,0.05,Yes
H,149,1,2,2,0.00226736068725585,0.48828125,0.51171875,1,2,0.05,0.05,Yes
H,150,1,2,2,0.00225639343261718,0.48828125,0.51171875,1,2,0.05,0.05,Yes
H,151,1,2,2,0.00224685668945312,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,152,1,2,2,0.0021984577178955,0.513671875,0.486328125,1,2,0.05,0.05,Yes
H,153,1,2,2,0.00227165222167968,0.52734375,0.47265625,1,2,0.05,0.05,Yes
H,154,1,2,2,0.00237417221069335,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,155,1,2,2,0.00223851203918457,0.5234375,0.4765625,1,2,0.05,0.05,Yes
H,156,1,2,2,0.00225472450256347,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,157,1,2,2,0.0022432804107666,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,158,1,2,2,0.00224208831787109,0.521484375,0.478515625,1,2,0.05,0.05,Yes
H,159,1,2,2,0.00225257873535156,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,160,1,2,2,0.00217866897583007,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,161,1,2,2,0.0022435188293457,0.5166015625,0.4833984375,1,2,0.05,0.05,Yes
H,162,1,2,2,0.00227999687194824,0.5126953125,0.4873046875,1,2,0.05,0.05,Yes
H,163,1,2,2,0.00217890739440917,0.470703125,0.529296875,1,2,0.05,0.05,Yes
H,164,1,2,2,0.00219511985778808,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,165,1,2,2,0.00434494018554687,0.498046875,0.501953125,1,2,0.05,0.05,Yes
H,166,1,2,2,0.00230741500854492,0.4775390625,0.5224609375,1,2,0.05,0.05,Yes
H,167,1,2,2,0.00240635871887207,0.4814453125,0.5185546875,1,2,0.05,0.05,Yes
H,168,1,2,2,0.00231003761291503,0.5234375,0.4765625,1,2,0.05,0.05,Yes
H,169,1,2,2,0.00236487388610839,0.4775390625,0.5224609375,1,2,0.05,0.05,Yes
H,170,1,2,2,0.00238370895385742,0.49609375,0.50390625,1,2,0.05,0.05,Yes
H,171,1,2,2,0.00233888626098632,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,172,1,2,2,0.00231742858886718,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,173,1,2,2,0.0022897720336914,0.484375,0.515625,1,2,0.05,0.05,Yes
H,174,1,2,2,0.00227665901184082,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,175,1,2,2,0.0023810863494873,0.498046875,0.501953125,1,2,0.05,0.05,Yes
H,176,1,2,2,0.0023205280303955,0.5126953125,0.4873046875,1,2,0.05,0.05,Yes
H,177,1,2,2,0.00221943855285644,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,178,1,2,2,0.00224971771240234,0.49609375,0.50390625,1,2,0.05,0.05,Yes
H,179,1,2,2,0.00242805480957031,0.515625,0.484375,1,2,0.05,0.05,Yes
H,180,1,2,2,0.00238823890686035,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,181,1,2,2,0.00231003761291503,0.4873046875,0.5126953125,1,2,0.05,0.05,Yes
H,182,1,2,2,0.00238680839538574,0.494140625,0.505859375,1,2,0.05,0.05,Yes
H,183,1,2,2,0.00234436988830566,0.515625,0.484375,1,2,0.05,0.05,Yes
H,184,1,2,2,0.00232648849487304,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,185,1,2,2,0.00230145454406738,0.5322265625,0.4677734375,1,2,0.05,0.05,Yes
H,186,1,2,2,0.00227737426757812,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,187,1,2,2,0.00232982635498046,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,188,1,2,2,0.00239920616149902,0.46875,0.53125,1,2,0.05,0.05,Yes
H,189,1,2,2,0.00237631797790527,0.4921875,0.5078125,1,2,0.05,0.05,Yes
H,190,1,2,2,0.00240588188171386,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,191,1,2,2,0.00229668617248535,0.5,0.5,1,2,0.05,0.05,Yes
H,192,1,2,2,0.00229668617248535,0.4765625,0.5234375,1,2,0.05,0.05,Yes
H,193,1,2,2,0.00237655639648437,0.4853515625,0.5146484375,1,2,0.05,0.05,Yes
H,194,1,2,2,0.00229096412658691,0.517578125,0.482421875,1,2,0.05,0.05,Yes
H,195,1,2,2,0.00227928161621093,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,196,1,2,2,0.00231409072875976,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,197,1,2,2,0.00233197212219238,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,198,1,2,2,0.0022735595703125,0.5126953125,0.4873046875,1,2,0.05,0.05,Yes
H,199,1,2,2,0.00234103202819824,0.5166015625,0.4833984375,1,2,0.05,0.05,Yes
H,200,1,2,2,0.00237035751342773,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,201,1,2,2,0.00232934951782226,0.501953125,0.498046875,1,2,0.05,0.05,Yes
H,202,1,2,2,0.00232672691345214,0.51953125,0.48046875,1,2,0.05,0.05,Yes
H,203,1,2,2,0.00228857994079589,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,204,1,2,2,0.0023043155670166,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,205,1,2,2,0.00239419937133789,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,206,1,2,2,0.00232362747192382,0.4755859375,0.5244140625,1,2,0.05,0.05,Yes
H,207,1,2,2,0.0022597312927246,0.517578125,0.482421875,1,2,0.05,0.05,Yes
H,208,1,2,2,0.00231456756591796,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,209,1,2,2,0.00230693817138671,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,210,1,2,2,0.0022749900817871,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,211,1,2,2,0.00226473808288574,0.5,0.5,1,2,0.05,0.05,Yes
H,212,1,2,2,0.0022597312927246,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,213,1,2,2,0.00229215621948242,0.5185546875,0.4814453125,1,2,0.05,0.05,Yes
H,214,1,2,2,0.0023195743560791,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,215,1,2,2,0.00221681594848632,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,216,1,2,2,0.00222253799438476,0.4697265625,0.5302734375,1,2,0.05,0.05,Yes
H,217,1,2,2,0.00219511985778808,0.4775390625,0.5224609375,1,2,0.05,0.05,Yes
H,218,1,2,2,0.00226116180419921,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,219,1,2,2,0.00219106674194335,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,220,1,2,2,0.00224471092224121,0.513671875,0.486328125,1,2,0.05,0.05,Yes
H,221,1,2,2,0.00218892097473144,0.5126953125,0.4873046875,1,2,0.05,0.05,Yes
H,222,1,2,2,0.00233864784240722,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,223,1,2,2,0.00228261947631835,0.4814453125,0.5185546875,1,2,0.05,0.05,Yes
H,224,1,2,2,0.00229072570800781,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,225,1,2,2,0.00226283073425292,0.5,0.5,1,2,0.05,0.05,Yes
H,226,1,2,2,0.0023050308227539,0.51171875,0.48828125,1,2,0.05,0.05,Yes
H,227,1,2,2,0.00224661827087402,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,228,1,2,2,0.00233697891235351,0.46484375,0.53515625,1,2,0.05,0.05,Yes
H,229,1,2,2,0.00229525566101074,0.478515625,0.521484375,1,2,0.05,0.05,Yes
H,230,1,2,2,0.00278592109680175,0.52734375,0.47265625,1,2,0.05,0.05,Yes
H,231,1,2,2,0.00221490859985351,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,232,1,2,2,0.00226259231567382,0.5,0.5,1,2,0.05,0.05,Yes
H,233,1,2,2,0.00225090980529785,0.5078125,0.4921875,1,2,0.05,0.05,Yes
H,234,1,2,2,0.00223755836486816,0.470703125,0.529296875,1,2,0.05,0.05,Yes
H,235,1,2,2,0.00221061706542968,0.484375,0.515625,1,2,0.05,0.05,Yes
H,236,1,2,2,0.00221085548400878,0.4853515625,0.5146484375,1,2,0.05,0.05,Yes
H,237,1,2,2,0.00223302841186523,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,238,1,2,2,0.00224614143371582,0.4609375,0.5390625,1,2,0.05,0.05,Yes
H,239,1,2,2,0.00237536430358886,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,240,1,2,2,0.00226879119873046,0.48046875,0.51953125,1,2,0.05,0.05,Yes
H,241,1,2,2,0.0022585391998291,0.478515625,0.521484375,1,2,0.05,0.05,Yes
H,242,1,2,2,0.00221848487854003,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,243,1,2,2,0.00230669975280761,0.5048828125,0.4951171875,1,2,0.05,0.05,Yes
H,244,1,2,2,0.00231599807739257,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,245,1,2,2,0.00229406356811523,0.5234375,0.4765625,1,2,0.05,0.05,Yes
H,246,1,2,2,0.00227928161621093,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,247,1,2,2,0.00271534919738769,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,248,1,2,2,0.00227952003479003,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,249,1,2,2,0.0023043155670166,0.5078125,0.4921875,1,2,0.05,0.05,Yes
H,250,1,2,2,0.00233197212219238,0.5166015625,0.4833984375,1,2,0.05,0.05,Yes
H,251,1,2,2,0.00228476524353027,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,252,1,2,2,0.00231313705444335,0.4912109375,0.5087890625,1,2,0.05,0.05,Yes
H,253,1,2,2,0.00232672691345214,0.505859375,0.494140625,1,2,0.05,0.05,Yes
H,254,1,2,2,0.00228166580200195,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,255,1,2,2,0.00249075889587402,0.484375,0.515625,1,2,0.05,0.05,Yes
H,256,1,2,2,0.00233960151672363,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,257,1,2,2,0.00223708152770996,0.5029296875,0.4970703125,1,2,0.05,0.05,Yes
H,258,1,2,2,0.00242209434509277,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,259,1,2,2,0.00222182273864746,0.4912109375,0.5087890625,1,2,0.05,0.05,Yes
H,260,1,2,2,0.00227212905883789,0.513671875,0.486328125,1,2,0.05,0.05,Yes
H,261,1,2,2,0.0023045539855957,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,262,1,2,2,0.00227975845336914,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,263,1,2,2,0.00233006477355957,0.533203125,0.466796875,1,2,0.05,0.05,Yes
H,264,1,2,2,0.00222992897033691,0.5205078125,0.4794921875,1,2,0.05,0.05,Yes
H,265,1,2,2,0.00235247611999511,0.4736328125,0.5263671875,1,2,0.05,0.05,Yes
H,266,1,2,2,0.00234866142272949,0.4794921875,0.5205078125,1,2,0.05,0.05,Yes
H,267,1,2,2,0.00231409072875976,0.5185546875,0.4814453125,1,2,0.05,0.05,Yes
H,268,1,2,2,0.00233292579650878,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,269,1,2,2,0.00228738784790039,0.48046875,0.51953125,1,2,0.05,0.05,Yes
H,270,1,2,2,0.00229358673095703,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,271,1,2,2,0.00234317779541015,0.51953125,0.48046875,1,2,0.05,0.05,Yes
H,272,1,2,2,0.00230216979980468,0.5302734375,0.4697265625,1,2,0.05,0.05,Yes
H,273,1,2,2,0.00234413146972656,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,274,1,2,2,0.00267410278320312,0.4814453125,0.5185546875,1,2,0.05,0.05,Yes
H,275,1,2,2,0.00476741790771484,0.51953125,0.48046875,1,2,0.05,0.05,Yes
H,276,1,2,2,0.00225734710693359,0.5322265625,0.4677734375,1,2,0.05,0.05,Yes
H,277,1,2,2,0.00574374198913574,0.5048828125,0.4951171875,1,2,0.05,0.05,Yes
H,278,1,2,2,0.0022292137145996,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,279,1,2,2,0.0022749900817871,0.5078125,0.4921875,1,2,0.05,0.05,Yes
H,280,1,2,2,0.0022742748260498,0.498046875,0.501953125,1,2,0.05,0.05,Yes
H,281,1,2,2,0.00224280357360839,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,282,1,2,2,0.00219655036926269,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,283,1,2,2,0.00233960151672363,0.533203125,0.466796875,1,2,0.05,0.05,Yes
H,284,1,2,2,0.00223684310913085,0.505859375,0.494140625,1,2,0.05,0.05,Yes
H,285,1,2,2,0.00232744216918945,0.5244140625,0.4755859375,1,2,0.05,0.05,Yes
H,286,1,2,2,0.00227022171020507,0.4853515625,0.5146484375,1,2,0.05,0.05,Yes
H,287,1,2,2,0.002349853515625,0.5263671875,0.4736328125,1,2,0.05,0.05,Yes
H,288,1,2,2,0.00226283073425292,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
H,289,1,2,2,0.00226068496704101,0.4970703125,0.5029296875,1,2,0.05,0.05,Yes
